"name","link"
"      Hotel Tentrem Yogyakarta","/Hotel_Review-g14782503-d3737584-Reviews-Hotel_Tentrem_Yogyakarta-Yogyakarta_Yogyakarta_Region_Java.html"
"      El Hotel Royale Yogyakarta Malioboro","/Hotel_Review-g14782503-d16797405-Reviews-El_Hotel_Royale_Yogyakarta_Malioboro-Yogyakarta_Yogyakarta_Region_Java.html"
"      Novotel Suites Yogyakarta Malioboro","/Hotel_Review-g14782503-d19478072-Reviews-Novotel_Suites_Yogyakarta_Malioboro-Yogyakarta_Yogyakarta_Region_Java.html"
"      Grand Zuri Malioboro Yogyakarta","/Hotel_Review-g14782503-d5256525-Reviews-Grand_Zuri_Malioboro_Yogyakarta-Yogyakarta_Yogyakarta_Region_Java.html"
"      favehotel Malioboro Yogyakarta","/Hotel_Review-g14782503-d9721750-Reviews-Favehotel_Malioboro_Yogyakarta-Yogyakarta_Yogyakarta_Region_Java.html"
"      @HOM Premiere Timoho","/Hotel_Review-g14782503-d15067692-Reviews-HOM_Premiere_Timoho-Yogyakarta_Yogyakarta_Region_Java.html"
"      Hotel Neo Malioboro","/Hotel_Review-g14782503-d8092831-Reviews-Hotel_Neo_Malioboro-Yogyakarta_Yogyakarta_Region_Java.html"
"      Ibis Yogyakarta Malioboro Hotel","/Hotel_Review-g14782503-d299576-Reviews-Ibis_Yogyakarta_Malioboro_Hotel-Yogyakarta_Yogyakarta_Region_Java.html"
"      Grand Senyum Hotel","/Hotel_Review-g14782503-d15078675-Reviews-Grand_Senyum_Hotel-Yogyakarta_Yogyakarta_Region_Java.html"
"      Horaios Malioboro Hotel","/Hotel_Review-g14782503-d15611953-Reviews-Horaios_Malioboro_Hotel-Yogyakarta_Yogyakarta_Region_Java.html"
"      Duta Garden Hotel","/Hotel_Review-g14782503-d622756-Reviews-Duta_Garden_Hotel-Yogyakarta_Yogyakarta_Region_Java.html"
"      Ayola Tasneem Convention Hotel","/Hotel_Review-g14782503-d8041050-Reviews-Ayola_Tasneem_Convention_Hotel-Yogyakarta_Yogyakarta_Region_Java.html"
"      Hotel Unisi Yogyakarta","/Hotel_Review-g14782503-d11622009-Reviews-Hotel_Unisi_Yogyakarta-Yogyakarta_Yogyakarta_Region_Java.html"
"      Arte Hotel Malioboro Yogyakarta","/Hotel_Review-g14782503-d15687225-Reviews-Arte_Hotel_Malioboro_Yogyakarta-Yogyakarta_Yogyakarta_Region_Java.html"
"      D'Kaliurang Resort & Convention","/Hotel_Review-g14782503-d21255239-Reviews-D_Kaliurang_Resort_Convention-Yogyakarta_Yogyakarta_Region_Java.html"
"      Griya Jogja Hotel","/Hotel_Review-g14782503-d5792112-Reviews-Griya_Jogja_Hotel-Yogyakarta_Yogyakarta_Region_Java.html"
"      Sabana Homestay","/Hotel_Review-g14782503-d3746543-Reviews-Sabana_Homestay-Yogyakarta_Yogyakarta_Region_Java.html"
"      Front One Cabin Malioboro Jogja","/Hotel_Review-g14782503-d15498810-Reviews-Front_One_Cabin_Malioboro_Jogja-Yogyakarta_Yogyakarta_Region_Java.html"
"      RedDoorz @ Mantrirejon 2","/Hotel_Review-g14782503-d15038024-Reviews-RedDoorz_Mantrirejon_2-Yogyakarta_Yogyakarta_Region_Java.html"
"      Ndalem Malioboro","/Hotel_Review-g14782503-d14882764-Reviews-Ndalem_Malioboro-Yogyakarta_Yogyakarta_Region_Java.html"
"      Duta Garden Hotel & Boutique Villa","/Hotel_Review-g14782503-d15574404-Reviews-Duta_Garden_Hotel_Boutique_Villa-Yogyakarta_Yogyakarta_Region_Java.html"
"      Royal Malioboro Yogyakarta by Aston","/Hotel_Review-g14782503-d21295589-Reviews-Royal_Malioboro_Yogyakarta_by_Aston-Yogyakarta_Yogyakarta_Region_Java.html"
"      OYO 206 Hotel Candra Kirana","/Hotel_Review-g14782503-d17386813-Reviews-OYO_206_Hotel_Candra_Kirana-Yogyakarta_Yogyakarta_Region_Java.html"
"      OYO 804 Ndalem Maharani Guest House","/Hotel_Review-g14782503-d3982278-Reviews-OYO_804_Ndalem_Maharani_Guest_House-Yogyakarta_Yogyakarta_Region_Java.html"
"      OYO 857 Pakuncen Malioboro Syariah","/Hotel_Review-g14782503-d12952021-Reviews-OYO_857_Pakuncen_Malioboro_Syariah-Yogyakarta_Yogyakarta_Region_Java.html"
"      OYO 1578 Hotel Kuda Putih","/Hotel_Review-g14782503-d19459092-Reviews-OYO_1578_Hotel_Kuda_Putih-Yogyakarta_Yogyakarta_Region_Java.html"
"      Anjuma Backpacker","/Hotel_Review-g14782503-d19691968-Reviews-Anjuma_Backpacker-Yogyakarta_Yogyakarta_Region_Java.html"
"      S5 Guest House","/Hotel_Review-g14782503-d17662704-Reviews-S5_Guest_House-Yogyakarta_Yogyakarta_Region_Java.html"
"      Alexiz Hostel","/Hotel_Review-g14782503-d19717552-Reviews-Alexiz_Hostel-Yogyakarta_Yogyakarta_Region_Java.html"
"      stepHouse","/Hotel_Review-g14782503-d15332601-Reviews-StepHouse-Yogyakarta_Yogyakarta_Region_Java.html"
